[0.038s] Invoking command in '/home/pan/ros2_ws/build/turtlebot3_gazebo': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/pan/ros2_ws/build/turtlebot3_gazebo -- -j12 -l12
[0.125s] [  8%] [32mBuilding CXX object CMakeFiles/turtlebot3_drive.dir/src/turtlebot3_drive.cpp.o[0m
[0.125s] [ 16%] [32mBuilding CXX object CMakeFiles/traffic_light_plugin.dir/src/traffic_light_plugin.cpp.o[0m
[0.127s] [ 25%] [32mBuilding CXX object CMakeFiles/traffic_bar_plugin.dir/src/traffic_bar_plugin.cpp.o[0m
[0.138s] [ 33%] [32mBuilding CXX object CMakeFiles/obstacles.dir/src/obstacles.cpp.o[0m
[0.142s] [ 50%] [32mBuilding CXX object CMakeFiles/obstacle1.dir/src/obstacle1.cpp.o[0m
[0.142s] [ 50%] [32mBuilding CXX object CMakeFiles/obstacle2.dir/src/obstacle2.cpp.o[0m
[15.480s] [ 58%] [32m[1mLinking CXX shared library libobstacle1.so[0m
[15.722s] [ 75%] [32m[1mLinking CXX executable turtlebot3_drive[0m
[15.722s] [ 75%] [32m[1mLinking CXX shared library libobstacle2.so[0m
[15.734s] [ 83%] [32m[1mLinking CXX shared library libtraffic_bar_plugin.so[0m
[15.985s] [ 91%] [32m[1mLinking CXX shared library libtraffic_light_plugin.so[0m
[16.088s] [ 91%] Built target obstacle1
[16.174s] [ 91%] Built target obstacle2
[16.201s] [ 91%] Built target traffic_bar_plugin
[16.467s] [ 91%] Built target traffic_light_plugin
[16.646s] [ 91%] Built target turtlebot3_drive
[16.735s] [100%] [32m[1mLinking CXX shared library libobstacles.so[0m
[16.991s] [100%] Built target obstacles
[17.029s] Invoked command in '/home/pan/ros2_ws/build/turtlebot3_gazebo' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/pan/ros2_ws/build/turtlebot3_gazebo -- -j12 -l12
[17.033s] Invoking command in '/home/pan/ros2_ws/build/turtlebot3_gazebo': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --install /home/pan/ros2_ws/build/turtlebot3_gazebo
[17.040s] -- Install configuration: ""
[17.041s] -- Execute custom install script
[17.042s] -- Symlinking: /home/pan/ros2_ws/install/turtlebot3_gazebo/lib/turtlebot3_gazebo/turtlebot3_drive
[17.052s] -- Symlinking: /home/pan/ros2_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/empty_world.launch.py
[17.062s] -- Symlinking: /home/pan/ros2_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/multi_robot.launch.py
[17.072s] -- Symlinking: /home/pan/ros2_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/multi_spawn_turtlebot3.launch.py
[17.083s] -- Symlinking: /home/pan/ros2_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/robot_state_publisher.launch.py
[17.093s] -- Symlinking: /home/pan/ros2_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/spawn_turtlebot3.launch.py
[17.104s] -- Symlinking: /home/pan/ros2_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/turtlebot3_autorace_2020.launch.py
[17.114s] -- Symlinking: /home/pan/ros2_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/turtlebot3_dqn_stage1.launch.py
[17.124s] -- Symlinking: /home/pan/ros2_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/turtlebot3_dqn_stage2.launch.py
[17.134s] -- Symlinking: /home/pan/ros2_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/turtlebot3_dqn_stage3.launch.py
[17.145s] -- Symlinking: /home/pan/ros2_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/turtlebot3_dqn_stage4.launch.py
[17.155s] -- Symlinking: /home/pan/ros2_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/turtlebot3_house.launch.py
[17.165s] -- Symlinking: /home/pan/ros2_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/turtlebot3_world.launch.py
[17.182s] -- Symlinking: /home/pan/ros2_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/checker/materials/checker.png
[17.192s] -- Symlinking: /home/pan/ros2_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/checker/materials/scripts/checker.material
